"outcome","gene","beta_step1","p_step1","beta_step2","p_step2","beta_total","mediation_effect","prop_mediated","sig_mediation","abs_prop"
"LungCancer","RP5-1115A15.1",-8.06113341132891,7.22272529569924e-07,-0.0594018091467549,0.516982552707063,0.460974451161024,0.478845908406289,1.0387688671254,FALSE,1.0387688671254
"CAD","CACNA2D2",-2.13003048068789,4.42331272557971e-05,0.120878558921375,0.300421927626504,0.251845615703304,-0.257475014964157,-1.02235257995313,FALSE,1.02235257995313
"LungCancer","CLU",-1.53615349190488,1.87033031528468e-06,-0.302502034171553,0.279091638766158,0.460974451161024,0.46468955610096,1.00805924261221,FALSE,1.00805924261221
"COPD","KCNAB3",5.75806521510052,1.84400289938487e-07,0.113630507849138,0.0954550890015536,0.658823081178385,0.654291874620327,0.993122271080799,FALSE,0.993122271080799
"CAD","LRRC69",4.42216680486196,4.91631017699845e-06,0.0556016255957347,0.154100181860953,0.251845615703304,0.245879663005821,0.976311071841284,FALSE,0.976311071841284
"LungCancer","PDAP1",1.83833484501673,0.000112554807939884,0.235207088564144,0.465492566779595,0.460974451161024,0.432389386702403,0.937989915956023,FALSE,0.937989915956023
"LungCancer","PSMD11",-2.2506591025219,5.32932537313895e-05,0.191743609077378,0.568496809942432,0.460974451161024,-0.431549499120401,-0.936167933024244,FALSE,0.936167933024244
"LungCancer","PTPRF",-1.49183466217097,1.59098825121899e-06,-0.288023187605742,0.325557960171289,0.460974451161024,0.429682974779218,0.932118848879815,FALSE,0.932118848879815
"COPD","EED",2.60009212443315,1.47654020601011e-05,0.232969399968489,0.437883998674699,0.658823081178385,0.605741902091986,0.919430298356493,FALSE,0.919430298356493
"LungCancer","LIN7C",-1.61541633348606,4.07248157305519e-05,-0.260558398316992,0.0516472064101541,0.460974451161024,0.420910292468234,0.913088114554108,FALSE,0.913088114554108
"CAD","FAM195A",1.8639489406268,0.000402592341290178,-0.116980112159665,0.471778678121053,0.251845615703304,-0.218044956134412,-0.865788175527693,FALSE,0.865788175527693
"LungCancer","FBXL16",5.18792844745574,8.96277635640692e-08,0.0741478988109107,0.604267757759338,0.460974451161024,0.384673993560193,0.834480072792194,FALSE,0.834480072792194
"CAD","JMJD8",-3.84495130859791,5.74226550581989e-06,0.0536638449610103,0.38218122436693,0.251845615703304,-0.206334870907232,-0.819291097567934,FALSE,0.819291097567934
